Series,Time,Value
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T21,0.183
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T21,0.178
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T21,0.171
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T22,0.184
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T22,0.165
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T22,0.191
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T22,0.174
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T23,0.188
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T23,0.162
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T23,0.18
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T23,0.179
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T00,0.182
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T00,0.171
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T00,0.174
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T00,0.181
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T01,0.193
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T01,0.176
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T01,0.189
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T01,0.197
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T02,0.2
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T02,0.178
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T02,0.188
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T02,0.19
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T03,0.197
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T03,0.171
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T03,0.19
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T03,0.196
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T04,0.198
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T04,0.179
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T04,0.184
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T04,0.189
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T05,0.199
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T05,0.172
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T05,0.178
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T05,0.178
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T06,0.184
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T06,0.171
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T06,0.179
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T06,0.188
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T07,0.191
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T07,0.168
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T07,0.172
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T07,0.181
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T08,0.18
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T08,0.18
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T08,0.18
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T08,0.183
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T09,0.184
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T09,0.172
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T09,0.181
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T09,0.18
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T10,0.191
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T10,0.172
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T10,0.173
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T10,0.209
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T11,0.187
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T11,0.158
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T11,0.166
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T11,0.184
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T12,0.173
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T12,0.162
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T12,0.16
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T12,0.179
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T13,0.17
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T13,0.157
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T13,0.158
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T13,0.168
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T14,0.168
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T14,0.159
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T14,0.166
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T14,0.128
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T15,0.141
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T15,0.172
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T15,0.159
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T15,0.163
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T16,0.153
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T16,0.196
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T16,0.194
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T16,0.198
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T17,0.201
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T17,0.194
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T17,0.192
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T17,0.201
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T18,0.207
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T18,0.176
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T18,0.18
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T18,0.193
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T19,0.192
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T19,0.167
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T19,0.182
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T19,0.188
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T20,0.19
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T20,0.177
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T20,0.184
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T20,0.191
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T21,0.211
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T21,0.176
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T21,0.178
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T21,0.194
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T22,0.195
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T22,0.172
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T22,0.179
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T22,0.194
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T23,0.197
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T23,0.18
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T23,0.186
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-23T23,0.189
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T00,0.19
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T00,0.186
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T00,0.185
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T00,0.177
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T01,0.206
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T01,0.175
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T01,0.186
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T01,0.193
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T02,0.195
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T02,0.179
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T02,0.181
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T02,0.188
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T03,0.186
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T03,0.185
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T03,0.172
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T03,0.185
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T04,0.184
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T04,0.186
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T04,0.174
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T04,0.182
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T05,0.18
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T05,0.173
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T05,0.186
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T05,0.193
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T06,0.184
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T06,0.172
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T06,0.177
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T06,0.188
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T07,0.197
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T07,0.181
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T07,0.172
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T07,0.179
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T08,0.182
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T08,0.174
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T08,0.176
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T08,0.189
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T09,0.178
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T09,0.163
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T09,0.169
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T09,0.176
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T10,0.195
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T10,0.18
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T10,0.204
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T10,0.196
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T11,0.206
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T11,0.192
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T11,0.193
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T11,0.194
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T12,0.197
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T12,0.188
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T12,0.185
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T12,0.197
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T13,0.196
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T13,0.182
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T13,0.182
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T13,0.169
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T14,0.2
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T14,0.152
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T14,0.154
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T14,0.178
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T15,0.18
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T15,0.142
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T15,0.147
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T15,0.176
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T16,0.166
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T16,0.154
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T16,0.141
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T16,0.151
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T17,0.144
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T17,0.142
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T17,0.154
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T17,0.162
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T18,0.161
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-24T18,0.145
